Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100018712;168A 192;B01;1;1;4;2;1996;5;1;0;-1;0;0;-1
202100018498;168A 569;A01;1;1;1;1;1996;0;1;-1;-1;0;0;-1
202100033747;141A 447;B01;7;2;4;2;2004;5;1;-1;-1;0;0;-1
202100027311;152A 907;C01;1;1;1;1;1995;9;8;8;-1;-1;-1;-1
202100027050;153A 365;A01;2;2;4;2;1935;5;1;-1;-1;-1;-1;-1
202100024732;157A 436;A01;10;3;4;2;1977;0;0;-1;-1;8;3;1
202100056409;101A 070;A01;1;1;1;1;2002;5;1;-1;-1;0;-1;-1
202100041368;127A 663;B01;1;1;1;1;1951;4;1;-1;-1;0;0;-1
202100045503;120A 404;B01;2;2;4;2;2000;0;1;-1;-1;0;0;-1
202100034938;139A 256;A01;1;1;1;1;1990;1;1;8;-1;-1;-1;-1
202100048896;114A 359;A01;1;1;4;2;1996;1;1;-1;-1;0;0;-1
202100049064;114A 058;A01;10;3;4;1;1977;1;0;-1;-1;4;3;1
202100024298;158A 239;A01;10;3;2;2;1966;9;0;-1;-1;1;3;1
202100035051;139A 041;A01;1;1;4;2;1970;5;2;6;-1;0;0;-1
202100002320;197A 645;B01;2;2;3;2;1997;5;1;-1;-1;0;0;-1
202100048482;115A 103;A01;2;2;4;1;1990;1;1;-1;-1;0;0;-1
202100006667;189A 868;A01;1;1;3;1;1966;0;2;6;-1;-1;-1;-1
202100013367;177A 847;A01;1;1;1;2;1986;0;1;0;-1;-1;-1;-1
202100018807;168A 026;B01;1;1;1;2;1971;5;1;0;-1;-1;-1;-1
202100037263;135A 068;A01;1;1;1;1;1998;3;1;5;-1;-1;-1;-1
202100006917;189A 402;A01;10;3;3;2;1976;0;0;-1;-1;3;3;1
202100014724;175A 396;A01;1;1;4;1;1986;1;2;6;-1;-1;-1;-1
202100037994;133A 747;A01;1;1;1;1;1974;0;1;0;-1;0;0;-1
202100007221;188A 846;A01;10;3;4;2;1984;2;0;-1;-1;3;3;2
202100054787;103A 866;A01;1;1;1;1;1978;4;8;0;-1;0;0;-1
202100004873;193A 077;E01;1;1;4;1;1972;5;1;-1;-1;0;0;-1
202100036209;136A 965;A01;1;1;1;2;1968;5;1;8;-1;-1;-1;-1
202100025577;155A 956;A01;1;1;1;1;1969;0;1;0;-1;-1;-1;-1
202100000386;201A 015;A01;1;1;1;1;2002;5;1;-1;-1;-1;-1;-1
202100020990;164A 145;A01;10;3;2;1;1949;0;0;-1;-1;3;3;1
202100045296;120A 756;A01;1;1;4;2;1962;5;1;-1;-1;0;0;-1
202100043532;123A 850;A01;5;2;1;1;2004;0;1;0;-1;-1;-1;-1
202100019699;166A 436;D01;1;1;1;1;1962;0;1;0;-1;0;0;-1
202100045662;120A 120;A01;6;2;4;2;1959;0;1;0;-1;-1;-1;-1
202100046251;119A 101;B01;1;1;4;2;1981;0;1;0;-1;-1;-1;-1
202100044735;121A 751;A01;1;1;1;1;1963;1;1;-1;-1;0;0;-1
202100035377;138A 476;A01;1;1;4;1;1999;1;1;-1;-1;0;0;-1
202100003510;195A 472;A01;10;3;4;2;1989;1;0;-1;-1;2;3;1
202100033550;141A 794;B01;3;2;4;1;2017;0;3;8;-1;-1;-1;-1
202100022301;161A 771;A01;10;3;4;2;2011;5;0;-1;-1;3;4;1
202100033896;141A 171;A01;1;1;1;1;1954;0;1;0;-1;-1;-1;-1
202100028893;150A 077;A01;2;2;4;1;1986;0;1;-1;-1;0;0;-1
202100031494;145A 461;B01;1;1;1;1;1970;0;1;-1;-1;0;0;-1
202100047139;117A 507;A01;1;1;1;1;1983;5;1;0;-1;0;0;-1
202100053994;105A 238;A01;1;1;1;2;1973;5;1;-1;-1;0;0;-1
202100001871;198A 449;A01;1;1;1;2;1981;1;8;0;-1;-1;-1;-1
202100009349;184A 996;A01;1;1;1;1;2003;1;1;-1;-1;0;0;-1
202100049312;113A 615;B01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100044309;122A 463;C01;1;1;1;1;1981;5;1;0;-1;-1;-1;-1
202100015073;174A 763;B01;1;1;4;2;2000;1;8;0;-1;-1;-1;-1
202100009937;183A 930;B01;1;1;4;1;1969;0;1;0;-1;-1;-1;-1
202100012676;179A 058;A01;2;2;4;1;1970;9;1;0;-1;0;0;-1
202100043113;124A 610;B01;1;1;1;2;1982;4;1;-1;-1;0;0;-1
202100024155;158A 482;B01;2;2;1;1;2003;0;8;0;-1;-1;-1;-1
202100025241;156A 538;B01;1;1;1;1;1975;4;1;0;-1;-1;-1;-1
202100001272;199A 488;A01;1;1;4;2;2001;5;1;-1;-1;-1;-1;-1
202100020658;164A 703;A01;1;1;1;2;1990;5;1;-1;-1;0;0;-1
202100052029;108A 710;A01;1;1;1;1;1938;0;1;8;-1;-1;-1;-1
202100044485;122A 179;B01;1;1;4;1;1979;1;2;6;-1;0;0;-1
202100044354;122A 391;B01;1;1;4;2;1944;5;1;-1;-1;-1;-1;-1
202100005464;192A 018;C01;1;1;1;2;1961;0;1;0;-1;-1;-1;-1
202100036418;136A 607;A01;1;1;1;1;2001;5;1;-1;-1;-1;-1;-1
202100026073;155A 080;C01;9;2;1;2;2002;5;1;-1;-1;0;0;-1
202100004607;193A 541;A01;10;3;4;1;2014;2;0;-1;-1;3;3;2
202100006908;189A 423;A01;1;1;1;1;1996;9;1;0;-1;-1;-1;-1
202100003573;195A 367;A01;1;1;1;1;2000;4;1;0;-1;-1;-1;-1
202100046686;118A 326;B01;1;1;1;1;1981;4;1;-1;-1;0;0;-1
202100046573;118A 521;A01;1;1;3;1;1992;0;2;6;-1;-1;-1;-1
202100038965;131A 988;A01;1;1;1;1;1968;4;1;8;-1;0;0;-1
202100041474;127A 472;A01;2;2;4;1;1985;4;1;0;-1;-1;-1;-1
202100016308;172A 486;A01;1;1;3;1;1985;0;2;-1;-1;0;0;-1
202100003602;195A 310;B01;1;1;4;1;1984;0;8;0;-1;-1;-1;-1
202100038010;133A 719;A01;1;1;1;1;1979;3;1;-1;-1;-1;-1;-1
202100005616;191A 758;B01;1;1;3;2;1991;1;1;-1;-1;-1;-1;-1
202100055438;102A 761;B01;1;1;3;2;1994;5;8;0;-1;-1;-1;-1
202100018721;168A 175;Z01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100023222;160A 110;B01;9;2;1;1;2012;3;1;-1;-1;0;0;-1
202100045509;120A 395;B01;2;2;1;2;1933;0;1;-1;-1;0;0;-1
202100001103;199A 797;A01;1;1;2;1;1988;0;1;-1;-1;0;0;-1
202100035153;138A 875;A01;1;1;4;2;1975;4;1;-1;-1;0;0;-1
202100036043;137A 259;A01;2;2;4;2;1975;5;2;6;-1;-1;-1;-1
202100027147;153A 187;A01;1;1;3;1;2000;5;2;-1;-1;0;0;-1
202100055282;103A 003;A01;1;1;1;1;2000;3;8;-1;-1;-1;-1;-1
202100049129;113A 936;B01;1;1;4;1;1984;9;2;8;-1;0;0;-1
202100009787;184A 202;A01;1;1;3;1;1986;0;2;6;-1;-1;-1;-1
202100012534;179A 308;A01;1;1;3;1;1978;1;1;-1;-1;0;0;-1
202100046989;117A 790;A01;1;1;3;1;2012;5;0;-1;-1;0;0;-1
202100005647;191A 694;B01;1;1;4;1;1998;9;8;0;-1;0;0;-1
202100052870;107A 208;C01;1;1;1;1;1972;0;1;0;-1;-1;-1;-1
202100039728;130A 567;A01;1;1;4;1;2006;5;8;0;-1;-1;-1;-1
202100002369;197A 549;A01;2;2;3;1;2001;5;1;-1;-1;-1;-1;-1
202100030635;147A 000;A01;9;2;1;2;2007;5;1;-1;-1;0;0;-1
202100030992;146A 336;B01;1;1;4;2;1984;5;2;0;-1;-1;-1;-1
202100025946;155A 304;B01;1;1;1;2;1997;0;1;0;-1;-1;-1;-1
202100017883;169A 658;B01;1;1;1;1;1985;1;1;0;-1;-1;-1;-1
202100042471;125A 704;B01;2;2;3;1;2006;5;8;0;-1;-1;-1;-1
202100030949;146A 436;A01;1;1;1;2;1984;1;1;-1;-1;0;0;-1
202100022527;161A 365;B01;1;1;3;1;1963;5;0;-1;-1;0;0;-1
202100032136;144A 306;Z01;10;3;4;2;2014;9;0;-1;-1;3;3;2
202100007270;188A 759;A01;1;1;3;1;2002;9;2;0;-1;-1;-1;-1
202100014234;176A 245;A01;1;1;4;1;1998;5;2;0;-1;-1;-1;-1
202100053002;106A 978;B01;1;1;1;2;1984;1;1;-1;-1;0;0;-1
202100005376;192A 178;A01;1;1;4;1;1995;1;2;6;-1;0;0;-1
202100033561;141A 775;A01;1;1;4;1;2006;0;8;0;-1;-1;-1;-1
202100048959;114A 235;A01;1;1;1;1;1967;1;1;0;-1;0;0;-1
202100024517;157A 836;B01;1;1;1;1;1996;5;1;8;-1;-1;-1;-1
202100054570;104A 231;A01;3;2;4;1;2002;5;1;8;-1;0;0;-1
202100028515;150A 744;A01;1;1;1;1;1983;0;1;-1;-1;0;0;-1
202100040000;130A 094;A01;1;1;4;1;1989;4;2;7;9;0;0;-1
202100024453;157A 968;A01;1;1;4;1;2000;5;1;-1;-1;0;0;-1
202100001973;198A 275;A01;1;1;1;1;1997;4;1;0;-1;-1;-1;-1
202100033367;142A 124;B01;1;1;2;1;1981;5;2;0;-1;0;0;-1
202100018282;168A 945;A01;1;1;1;2;1984;0;1;-1;-1;0;0;-1
202100033848;141A 257;A01;5;2;3;1;2001;5;8;-1;-1;0;0;-1
202100046874;117A 991;B01;1;1;3;1;2003;0;2;6;-1;-1;-1;-1
202100011032;182A 003;C01;1;1;1;1;1966;5;1;-1;-1;-1;0;-1
202100051712;109A 257;A01;1;1;4;2;1984;5;1;0;-1;-1;-1;-1
202100005694;191A 621;A01;1;1;3;1;1984;5;8;8;8;0;0;-1
202100011903;180A 448;A01;1;1;1;1;1948;3;1;-1;-1;0;0;-1
202100009142;185A 370;A01;1;1;1;1;1961;1;1;-1;-1;0;0;-1
202100046922;117A 902;A01;1;1;4;2;1966;5;1;0;-1;-1;-1;-1
202100018112;169A 242;B01;1;1;4;1;1981;0;1;-1;-1;-1;-1;-1
202100019487;166A 803;B01;2;2;4;1;1999;5;1;0;-1;-1;-1;-1
202100046521;118A 629;B01;1;1;1;1;1965;5;1;0;-1;0;0;-1
202100000227;201A 323;B01;1;1;1;1;1965;9;1;8;-1;-1;-1;-1
202100009723;184A 323;A01;2;2;3;2;2005;5;2;-1;-1;0;0;-1
202100019695;166A 441;A01;1;1;1;2;1945;5;1;0;-1;-1;-1;-1
202100038618;132A 609;B01;1;1;3;1;1987;5;8;0;-1;-1;-1;-1
202100010068;183A 698;A01;2;2;3;1;1997;5;1;-1;-1;0;0;-1
202100022412;161A 579;B01;1;1;1;2;1974;0;1;8;-1;-1;-1;-1
202100047769;116A 361;A01;1;1;4;1;2001;5;1;0;-1;-1;-1;-1
202100040231;129A 686;A01;1;1;4;1;1992;0;1;7;-1;0;-1;-1
202100004439;193A 827;A01;1;1;3;2;1993;1;1;-1;-1;0;0;-1
202100005870;191A 297;Z01;1;1;4;2;1992;0;8;0;-1;-1;-1;-1
202100002586;197A 161;A01;10;3;4;2;1949;5;0;-1;-1;4;3;1
202100000073;201A 621;A01;1;1;1;2;1963;3;1;-1;-1;-1;-1;-1
202100039660;130A 703;A01;1;1;4;2;1944;0;1;-1;-1;0;0;-1
202100055041;103A 430;A01;1;1;4;1;1982;4;1;-1;-1;-1;-1;-1
202100007050;189A 155;A01;1;1;4;1;1997;9;2;0;-1;0;0;-1
202100027285;152A 957;A01;1;1;4;1;1979;5;8;-1;-1;0;0;-1
202100034228;140A 563;A01;10;3;4;2;1963;1;0;-1;-1;3;3;1
202100009971;183A 877;B01;1;1;1;1;1968;5;8;-1;-1;0;0;-1
202100023513;159A 606;A01;2;2;3;2;1949;5;2;6;-1;0;0;-1
202100055265;103A 038;B01;1;1;4;1;1990;1;2;6;-1;-1;-1;-1
202100020072;165A 748;A01;10;3;4;2;1998;5;0;-1;-1;3;3;1
202100047658;116A 565;A01;1;1;1;1;1995;0;1;0;-1;-1;-1;-1
202100031386;145A 650;B01;7;2;4;2;2016;5;3;-1;-1;0;0;-1
202100042365;125A 901;B01;1;1;4;1;1998;0;0;0;-1;-1;-1;-1
