Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100024276;34;4;VAL DE MONTFERRAND (AVENUE DU);0;Inconnu;2;2;0;2;-1;-1;1;-1.0;1;0;1;50
202100045310;24;4;0;0;X;2;2;0;1;0;0;2;-1.0;1;0;1;50
202100048766;93;1;AUTOROUTE A86;0;Inconnu;3;6;0;1;23;0;1;-1.0;1;0;1;90
202100038320;69;4;SEBASTIEN GRYPHE                    (R );0;Inconnu;1;1;2;1;-1;-1;1;-1.0;1;0;1;50
202100048313;93;4;CAMILLE PISSARO (ROUTE);0;Inconnu;2;2;0;1;0;0;1;-1.0;1;0;1;50
202100011631;75;4;PORTE DE VANVES;0;Inconnu;1;3;0;1;7;0;1;-1.0;1;1;1;70
202100019299;33;1;AUTOROUTE A 10;0;Inconnu;3;6;0;1;548;700;1;-1.0;1;0;1;90
202100005034;95;3;RN 1 SENS PROVINCE-PARIS;0;Inconnu;3;4;0;1;2;0;1;-1.0;1;0;1;70
202100051591;75;4;RUE D AVRON;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;30
202100030562;49;3;ANGERS (ROUTE D') D 952;0;Inconnu;2;2;2;1;112;120;1;-1.0;1;0;1;50
202100022681;95;1;AUTOROUTE A15;0;Inconnu;3;6;0;1;11;300;1;-1.0;1;0;1;90
202100029173;93;3;JEAN JAURES  (AVE)  157 A 213;0;Inconnu;2;4;3;1;0;1;1;-1.0;2;0;1;50
202100020855;38;4;VERDUN (PLACE DE);0;Inconnu;1;1;0;1;-1;-1;1;-1.0;1;0;1;30
202100039595;5;4;STADE ( RUE  DU );0;Inconnu;2;2;0;2;0;1;1;-1.0;2;0;1;50
202100021605;63;7;PASTEUR (AVENUE);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100050655;94;1;A86.EXT;0;Inconnu;-1;3;0;1;30;600;1;-1.0;1;1;1;90
202100050801;82;3;999;0;Inconnu;2;2;0;1;10;566;1;-1.0;1;9;3;50
202100000196;13;1;A7-Sens Lyon vers Marseille;0;Inconnu;3;3;0;1;269;0;1;-1.0;7;0;1;110
202100042755;6;3;53;0;D;2;2;0;2;16;760;1;-1.0;1;0;1;50
