id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
179A866;A01;1;10;0;1;1;1;1;0
103A734;B01;2;7;0;2;7;1;1;0
116A880;B01;1;2;0;2;1;1;1;0
198A339;A01;1;10;0;2;1;1;1;0
174A486;A01;2;7;0;2;2;10;2;0
144A701;A01;1;7;0;2;4;1;1;0
162A883;A01;1;7;7;0;1;1;1;0
148A739;A01;3;36;2;0;1;13;1;0
130A491;B01;3;1;0;0;0;2;5;0
124A014;A01;1;7;0;2;1;1;1;0
139A851;A01;1;7;0;2;1;16;1;0
138A561;B01;3;1;0;2;1;1;5;0
188A508;A01;2;7;2;0;1;26;1;0
121A396;B01;1;7;0;2;0;0;1;0
152A849;B01;1;7;0;2;1;1;1;0
103A055;A01;2;7;0;2;1;1;1;0
123A203;A01;1;7;0;2;3;10;1;0
178A037;B01;2;37;0;2;4;1;1;1
139A352;A01;2;33;0;0;8;1;1;0
188A509;A01;1;7;0;2;2;1;1;0
148A969;A01;2;7;0;0;3;9;1;0
183A904;A01;2;7;13;0;2;1;1;0
152A298;B01;2;10;0;2;2;1;1;0
123A104;A01;1;7;0;0;0;17;0;0
155A443;B01;1;33;0;2;8;1;1;0
131A680;Z01;2;7;0;1;0;26;0;0
105A330;B01;3;1;0;2;8;19;5;0
151A100;B01;3;7;0;2;1;0;1;0
108A938;A01;1;2;0;2;1;17;1;0
143A116;B01;2;60;0;2;1;1;5;0
158A354;A01;1;7;0;2;4;9;1;0
149A315;A01;1;30;0;1;1;1;1;0
170A729;A01;3;7;0;2;3;5;1;0
110A314;B01;2;38;0;2;3;1;1;1
162A849;A01;0;7;0;2;8;9;1;0
196A146;B01;2;7;0;2;2;0;1;0
193A427;B01;1;7;0;2;8;0;1;0
126A019;B01;3;2;0;2;1;1;1;0
111A165;A01;3;7;0;0;2;26;1;0
180A178;A01;2;10;0;4;8;10;1;0
146A044;B01;3;7;0;2;3;1;1;0
189A554;A01;1;7;0;0;8;9;2;0
156A859;A01;2;2;0;2;0;13;1;0
160A851;B01;1;10;6;2;6;1;1;0
189A452;C01;2;7;0;2;8;1;1;0
161A475;A01;2;43;0;2;1;3;1;0
118A736;A01;1;7;0;2;2;1;1;0
155A264;A01;3;7;0;0;1;26;1;0
183A363;A01;3;37;0;1;1;16;1;1
163A865;B01;1;7;0;2;1;1;1;0
144A155;A01;1;50;0;2;7;9;3;0
113A825;A01;1;7;0;2;3;15;1;0
128A483;A01;1;7;0;2;1;2;1;0
142A238;A01;3;50;0;0;0;1;3;0
173A888;A01;1;7;0;2;2;1;1;0
199A739;A01;2;15;3;2;3;13;1;0
111A672;B01;2;32;0;2;1;1;1;0
188A004;D01;1;7;0;2;4;23;1;0
143A395;B01;2;7;0;2;1;1;1;0
139A193;B01;2;1;0;2;3;15;5;0
180A442;B01;2;7;0;2;2;15;1;0
178A019;A01;2;7;0;1;2;15;1;0
177A182;B01;0;60;0;2;8;25;5;0
167A405;A01;2;10;0;1;3;15;1;0
156A851;A01;2;7;0;2;1;1;1;0
120A964;B01;1;33;0;2;8;1;1;0
129A124;B01;1;14;0;2;2;23;1;0
198A341;A01;1;7;0;2;3;0;1;0
148A955;B01;2;15;0;2;4;2;1;0
179A530;A01;0;80;0;2;2;25;3;0
160A660;A01;3;7;0;1;1;1;1;0
120A628;B01;3;7;0;2;3;1;1;0
188A876;B01;1;7;0;2;1;15;1;0
112A873;A01;2;7;6;0;8;1;1;0
174A939;A01;1;7;0;2;2;1;1;0
116A836;A01;2;10;0;1;3;1;1;0
100A933;A01;2;7;0;2;1;1;1;0
181A432;B01;2;7;0;2;3;9;1;0
192A669;B01;3;7;0;2;0;0;1;0
112A794;A01;1;7;0;1;3;1;1;0
145A698;A01;1;7;15;0;1;13;1;0
144A819;A01;2;7;4;0;9;1;1;0
172A188;C01;1;10;0;2;4;1;1;0
106A057;B01;2;7;0;2;3;1;1;0
132A913;A01;1;2;3;2;1;13;1;0
155A643;A01;1;7;0;2;0;9;1;0
184A850;A01;1;7;0;2;1;2;1;0
110A211;B01;1;7;0;2;7;1;1;0
179A219;B01;2;7;0;0;4;2;1;0
107A544;B01;1;7;0;2;3;15;1;0
139A140;B01;0;7;0;2;4;2;1;0
112A209;B01;2;7;0;2;6;1;1;0
152A400;A01;1;7;0;2;7;26;1;0
150A219;A01;1;7;0;2;1;1;1;0
194A581;A01;1;37;0;2;1;1;1;1
199A655;B01;1;10;0;2;2;1;1;0
148A915;B01;0;50;0;2;0;0;3;0
146A238;C01;2;7;0;0;0;0;0;0
182A084;B01;1;10;0;2;1;1;1;0
103A451;A01;1;7;0;1;1;1;1;0
113A993;A01;1;7;12;2;1;9;1;0
168A242;A01;3;7;16;9;0;26;1;0
186A813;A01;2;7;0;2;1;1;1;0
196A857;A01;3;7;0;2;3;9;1;0
185A475;B01;2;33;0;2;0;1;1;0
194A204;A01;1;34;0;2;1;17;1;0
166A325;A01;1;7;6;0;3;1;1;0
154A016;A01;2;10;0;2;3;13;1;0
199A139;B01;1;60;0;2;1;9;5;0
167A548;B01;1;7;0;2;1;1;1;0
163A203;B01;1;13;0;2;3;1;1;0
194A641;A01;1;7;0;1;1;9;1;0
192A872;A01;1;7;3;0;3;2;1;0
146A467;A01;2;7;3;2;3;0;1;0
182A864;A01;1;30;0;2;3;21;1;0
111A442;B01;0;7;0;0;5;11;1;0
162A354;B01;2;7;0;2;3;2;1;0
126A999;A01;1;7;0;2;4;2;1;0
169A335;A01;1;33;2;0;9;1;1;0
180A951;C01;1;7;0;2;1;0;1;0
122A408;A01;2;7;0;2;1;13;1;0
156A672;B01;2;1;0;2;8;1;5;0
111A475;Z01;0;7;0;2;1;1;0;0
177A336;B01;2;30;0;2;8;1;1;0
174A306;A01;1;7;0;1;0;1;1;0
121A440;A01;3;7;0;2;2;19;1;0
135A462;A01;0;7;14;0;1;1;1;0
184A442;A01;2;7;0;9;2;1;1;0
138A069;A01;1;1;0;2;1;1;5;0
167A954;A01;2;7;3;2;1;5;1;0
145A982;A01;1;7;0;1;0;1;0;0
130A945;A01;2;7;0;2;2;17;1;0
149A150;A01;1;7;0;2;3;1;1;0
166A569;B01;3;37;0;2;1;1;1;4
131A417;A01;0;7;0;2;1;15;1;0
117A065;A01;2;7;1;2;2;9;1;0
111A641;A01;2;7;9;2;2;16;1;0
198A968;B01;1;7;0;2;4;1;1;0
144A911;A01;1;43;0;0;0;2;1;0
129A947;B01;3;7;0;2;2;9;1;0
173A454;A01;3;7;0;2;3;1;1;0
117A743;A01;2;14;0;2;2;12;1;0
173A151;A01;2;34;0;2;2;1;1;0
126A850;A01;1;7;0;2;5;12;1;0
165A830;A01;2;33;13;0;7;1;1;0
195A211;A01;1;7;0;1;3;15;1;0
120A281;B01;1;2;0;2;1;1;1;0
154A024;A01;2;14;0;2;1;2;1;0
129A798;A01;3;7;0;2;2;12;1;0
101A670;A01;3;30;0;0;0;1;1;0
149A404;Z01;2;10;0;2;1;9;1;0
191A071;B01;2;31;0;2;7;17;1;0
195A039;A01;3;7;13;0;2;1;1;0
121A200;A01;2;7;0;2;1;5;1;0
119A162;A01;1;7;6;0;2;1;1;0
110A795;A01;2;7;0;2;1;26;1;0
148A175;A01;1;7;12;0;1;0;1;0
138A452;B01;3;7;0;2;1;1;1;0
148A066;A01;1;32;0;2;1;18;1;0
187A598;B01;2;33;0;2;1;1;1;0
115A667;A01;3;10;0;2;1;26;0;0
186A235;B01;3;33;0;2;0;21;1;0
184A682;A01;1;7;0;2;1;13;1;0
191A140;A01;2;7;0;1;1;1;1;0
118A216;A01;1;7;1;0;1;14;1;0
106A060;A01;1;7;2;0;3;0;1;0
128A817;A01;1;37;0;2;3;26;1;1
109A471;A01;1;1;0;2;1;1;5;0
148A911;C01;1;7;0;2;4;1;3;0
180A457;B01;2;7;0;2;3;0;1;0
169A397;A01;1;30;0;2;1;2;1;0
106A619;A01;1;7;0;1;1;1;1;0
169A166;A01;0;7;0;2;1;1;1;0
166A624;B01;2;7;0;2;1;1;1;0
143A767;A01;1;7;0;2;1;9;1;0
